id,binsize,name,file_path,value_type,collection_id,intervals_id
1382,2000,396fe9f2407843e785a152a4e29441c6.npy,/code/temp/396fe9f2407843e785a152a4e29441c6.npy,NULL,85,1659
1465,2000,12ff0dadc58c472eb59975cb6b90bab6.npy,/code/temp/12ff0dadc58c472eb59975cb6b90bab6.npy,NULL,86,1659
1376,5000,5eb8528f22c74566b19c63e7dadc71d4.npy,/code/temp/5eb8528f22c74566b19c63e7dadc71d4.npy,NULL,85,1660
1457,5000,175d56bf400840a996c9740203b53e9b.npy,/code/temp/175d56bf400840a996c9740203b53e9b.npy,NULL,86,1660
1377,10000,84888d385c754933be72129ca72f2261.npy,/code/temp/84888d385c754933be72129ca72f2261.npy,NULL,85,1661
1378,20000,bbab3c3e75aa4dd98c98fc9642cac4ca.npy,/code/temp/bbab3c3e75aa4dd98c98fc9642cac4ca.npy,NULL,85,1661
1458,10000,f6df45b4e21e410d96355d3feb13f7a5.npy,/code/temp/f6df45b4e21e410d96355d3feb13f7a5.npy,NULL,86,1661
1459,20000,a4e70d65e05d4258bd68af63a8594229.npy,/code/temp/a4e70d65e05d4258bd68af63a8594229.npy,NULL,86,1661
1379,50000,c15b1a5f5c5f43ae8942c757f6300586.npy,/code/temp/c15b1a5f5c5f43ae8942c757f6300586.npy,NULL,85,1662
1380,20000,a9649e3811ad4455a4b31c6b8057afdf.npy,/code/temp/a9649e3811ad4455a4b31c6b8057afdf.npy,NULL,85,1662
1460,50000,8f4f1e7c1dd643349581df60e1e9c986.npy,/code/temp/8f4f1e7c1dd643349581df60e1e9c986.npy,NULL,86,1662
1461,20000,24de5f31c90f4cdb89b14c47127c5246.npy,/code/temp/24de5f31c90f4cdb89b14c47127c5246.npy,NULL,86,1662
1381,50000,3f29b27e62ec47fbacb23d63e48399be.npy,/code/temp/3f29b27e62ec47fbacb23d63e48399be.npy,NULL,85,1663
1383,200000,ef424afba4a840f3a1eaffe21fb5e1ed.npy,/code/temp/ef424afba4a840f3a1eaffe21fb5e1ed.npy,NULL,85,1663
1384,100000,516bf5c416c74c4a9de9650e6182329e.npy,/code/temp/516bf5c416c74c4a9de9650e6182329e.npy,NULL,85,1663
1462,50000,cc85d0eace1844f0a5b791a81b82800f.npy,/code/temp/cc85d0eace1844f0a5b791a81b82800f.npy,NULL,86,1663
1463,200000,179b64dcd9fe4c4db0a18cf99a189eeb.npy,/code/temp/179b64dcd9fe4c4db0a18cf99a189eeb.npy,NULL,86,1663
1464,100000,e5d427cc33b54c7e9a01ae47c1e5eb6b.npy,/code/temp/e5d427cc33b54c7e9a01ae47c1e5eb6b.npy,NULL,86,1663
1371,2000,a2dafb5834cc4f478b63f6f30a9b2673.npy,/code/temp/a2dafb5834cc4f478b63f6f30a9b2673.npy,NULL,85,1664
1456,2000,0bf2f0363c3948408f931cbf58f8d014.npy,/code/temp/0bf2f0363c3948408f931cbf58f8d014.npy,NULL,86,1664
1367,5000,0684e0e227ed47d79e79a108b2b23abc.npy,/code/temp/0684e0e227ed47d79e79a108b2b23abc.npy,NULL,85,1665
1448,5000,2879c921e97a4484af332899bced5575.npy,/code/temp/2879c921e97a4484af332899bced5575.npy,NULL,86,1665
1368,20000,d529ffd30618423da7f9f9f820ae64f1.npy,/code/temp/d529ffd30618423da7f9f9f820ae64f1.npy,NULL,85,1666
1369,10000,0a5ae45d84a943098586862726f64d95.npy,/code/temp/0a5ae45d84a943098586862726f64d95.npy,NULL,85,1666
1449,10000,5e873982883b4d7ca586cb91fb0c2455.npy,/code/temp/5e873982883b4d7ca586cb91fb0c2455.npy,NULL,86,1666
1450,20000,b30c0d04842f43ee93521f325844a1f6.npy,/code/temp/b30c0d04842f43ee93521f325844a1f6.npy,NULL,86,1666
1370,50000,8974e70a4cf445e98c4f8d8de9a17348.npy,/code/temp/8974e70a4cf445e98c4f8d8de9a17348.npy,NULL,85,1667
1372,20000,f404bfe37dc4450ca6fb27ad938a3439.npy,/code/temp/f404bfe37dc4450ca6fb27ad938a3439.npy,NULL,85,1667
1451,50000,2abcd20bc5d84d29bd21725be23465f9.npy,/code/temp/2abcd20bc5d84d29bd21725be23465f9.npy,NULL,86,1667
1452,20000,afaf790dc33141aaa671747bd2dc165f.npy,/code/temp/afaf790dc33141aaa671747bd2dc165f.npy,NULL,86,1667
1373,50000,f6d2e5464874441bbb0a5d31036cb5f6.npy,/code/temp/f6d2e5464874441bbb0a5d31036cb5f6.npy,NULL,85,1668
1374,200000,17482acda908413592c9b38b4034bb0a.npy,/code/temp/17482acda908413592c9b38b4034bb0a.npy,NULL,85,1668
1375,100000,faf61ca1b8d04fae94f6e3ddef37d466.npy,/code/temp/faf61ca1b8d04fae94f6e3ddef37d466.npy,NULL,85,1668
1453,50000,d38b82fa468a46c69691a65d4f991a53.npy,/code/temp/d38b82fa468a46c69691a65d4f991a53.npy,NULL,86,1668
1454,100000,604251ff3b404c73997d39be1c21bd35.npy,/code/temp/604251ff3b404c73997d39be1c21bd35.npy,NULL,86,1668
1455,200000,494fc2f2ad224b269f598c6a4c6c9847.npy,/code/temp/494fc2f2ad224b269f598c6a4c6c9847.npy,NULL,86,1668
